participants,win,champion,kills,deaths,assists,gold_earned,total_minions_killed,total_damage_dealt_champions,total_damage_taken,total_damage_shielded_teammates,total_time_crowd_controlled,vision_score,wards_placed,damage_dealt_to_buildings,damage_dealt_to_objectives,damage_dealt_to_turrets,game_ended_in_surrender,individual_position,inhibitor_takedowns,largest_killing_spree,largest_multi_kill,total_damage_shielded_on_teammates,total_heals_on_teammates
"['ks8I2akDydMh0TUB6a9NRlJrlYtTts4w4c-4NYebPgNTfbEns8gsdoh5-4UPY0LjrVk3H-TNZ1fJAQ', 'V8lkRF0RP5WLyEAM7kf0F4RJanDfdGveBZESxJBZPxaRoDgxwUtdIeVTZrmOzjeVHklBRlCJr1tz1g', 'PJbY2a6Ufn2D-LEBruknjZQlyZmnpuVjcD55fTZHJTnBNVSfUVTGCQrav7_L8Q8ejj_HDCTe5cieVw', 'LOSW_2HtLudq3IO26xWlzSEQr_YBdH2fIsP0u3fhXG49qecrSx-uYSv_vq59IbyHv_GZ06O7RZBfaA', 'v9cKAiyHdtPQ4HXfm7RKoUiH4Qme9tpon2h-j6977gySZVShcbpHA_rqcGRtvR_jdIltku3KSZRBYw', 'DED4M5lr-XE788hlelzZt63l-TragF9OfgbvaiV0kL4M2sSZUn88dNw9vbu8pkMl1ywgkeyTJW09Bg', '_LA65_KBaVzY-p8crDGI3t0Z86d0nF6rgJ-JFoC-oGJB1Y5uVIp-AgqEOkZCUYHwSyknaQ6_MGP2lg', 'KQLnOyZwfthx7BxnFZMmS-qYy57-Ek1ggs60HnfxhnmHlV8FUpumPcTWaNpB3LtDaGglSF5ogqME0Q', 'DDDx1Jx8vpIalUjlnhOxv7ypihhrdvjEQ3nhKT5vVjYNjDs995jdAjQXr6wgz7zLdlUJQFIil9wfWA', '9iqnTqtOj2T5J6VxnaI8FXVX17SbO0KaR3dtNtzq26fHMabxol9rNTNZLlwYCKsQjBshDswyLVH0qQ']",0,Jarvan IV,3,6,7,10752,16,9400,30033,0,479,28,10,5764,29229,5764,False,JUNGLE,1,2,1,0,0
"['NHDBGn_WSNlGc-Tlmy3gS_l5wPioeSIuJAvsuZ7Tq5iQSR4MLKc2Mg2X06R6G6S_vl7d7yMemO5E3g', '07mV1nrtCnuwRT4x0ELMG6HAZkepUK4IK_U6Dn19abTGQn1Xr2IyO72rcUL1Tf7GjqNcrjBqwKKj9Q', 'dDcyiBbsOQSavOGOvKlljDDmT53lQrINVi2lHYvGmgMiSMyamBpiwzawx5pxliYXOogzuBD2ifs3pQ', 'LOSW_2HtLudq3IO26xWlzSEQr_YBdH2fIsP0u3fhXG49qecrSx-uYSv_vq59IbyHv_GZ06O7RZBfaA', 'V8lkRF0RP5WLyEAM7kf0F4RJanDfdGveBZESxJBZPxaRoDgxwUtdIeVTZrmOzjeVHklBRlCJr1tz1g', 'vyMiHCo6vjoGnXE7Ako4cjLz2wKsDPd7BcUnTREiEXT-vZGoUW-k3aC0f3Gq62Y6nHG5-y2PtclZnA', '4DzOVW4ZvcRhi2izZ4wag72cROv4LkqWieY5saRYD84NV6Y3TC3BGvwXbIyG_HBiBqOMjFPze3Zt8w', 'udTO61cK1GihC8GXYBKudHSYqpsU0XwH6KDPCq09pD_0riPSbBkmNRkOhbpce22YrTn9C6ug6ob_uA', '52Lcc2ZyzyqYeCVM0Ga902bH-XU1_U8mDzsCVMLUKk9bKIIVjDllkoRuqq92d62DOFlRnAnAiaRy1g', 'hKYOUiBqoRGpty_pfQZ6uIcLsCrHoRN6KXlHbSJn5jlnqRotB2m_PloEhHBwM74JAaWZ8yJoNfYgkw']",0,Taric,1,8,13,7396,15,8212,25038,5437,59,44,19,603,3661,603,False,UTILITY,0,0,1,5437,2706
"['0t6C4BRr9x0QOoaLHsiIUYRyXeSbo3r7rVL4ZYLmD9AEgD82rnMxdVYa3jcz9WzdnuSQ550dQZmQWg', 'SpFGXx2zOExV1E_fK6j_SpG1X841TecE92dbQMOepr4f1aYjBLvCTBndk_H2zGb5Z1heD49Zss-lfA', '1BqvL0J2MH7RjrBaU2y4pkqudyOBB_wCv74lnyLBfGV_wBbUfKZVwooPcqdimEmAoOWn8i-t9p4B7w', 'LOSW_2HtLudq3IO26xWlzSEQr_YBdH2fIsP0u3fhXG49qecrSx-uYSv_vq59IbyHv_GZ06O7RZBfaA', 'V8lkRF0RP5WLyEAM7kf0F4RJanDfdGveBZESxJBZPxaRoDgxwUtdIeVTZrmOzjeVHklBRlCJr1tz1g', 'OF-iksKpR3ZGgVD1T3Qsyj8ouMcNSbCsUW7GSSrbKfnyZJpALAXbAHKY0iJCs0A7BrIwar-7x_s16g', 'tyg77YX8V-Ok-jOp4w6rYAz-ia-O8FFtub-a9cyA3RlfiUCrDLt75kvNfw0YYlYybpgvOkO9SDR8GQ', 'JCZWyU-NYHKMEtoFn1HuYbT-4NDSeuLwUhjcYVa2yHepsrm7WX0kuNXqi9xZ23DUw-RHapYyWyQV5g', '__CdNQIgZl6Ixug_Mk92CDZ8k_qMeLJIf-DsRRIjXUJi-IuK8cy1RDdjkwM79e7oczDfKLlTULTfCg', 'E_Ytx4wof_cfeNcz_nOkmgqEL6clmi5XJeixKpTQtMSTQoiGXnkhfUIhjHP3rWyqZ4d-gyGqtrHtqQ']",0,Taric,3,4,4,6164,11,5142,13852,1129,247,14,8,301,301,301,False,UTILITY,0,0,1,1129,955
"['yRHLNedPj7bh0ehKYGEe9dU0u4DaNh1E53Zn0t_SP-LQ7_Mgj5xE6ESIvKLsR-wqYybMG4XYJJohZQ', 'KVbFTclbWj9ASvWPnav4A1f3-hwh4PP2QdxwMCJiRQNvHSVYqOdaWUgkMnloJ-N2xh02nSuJiOpTyQ', 'i_FYKZJU4I3XuN0dlpB7Bav6I0tqjlXejaapOG5lG5_n3qnMzlV1biT-YoB2pCwF107qIQBwuUq8NQ', 'zE3edBdjZMXtbc71JFk0_pFGi2_wZ_-nwiEfuyt9vfO0FPZhM5_oTm7IMMtKxhObf22o6XinUv07yA', 'd_ODUOMNdr2BQ_wCZinzLJ9N2Y605EEOke3XGAsVCUPVpGZbEZ9jJIdcVlEdq8fR7nuRFEdDN5tb4A', '2XDgZzCghSGL_lNHWmzivh667JJP-O9cwian7TSGkDUiLKd-3xTlnzaGDCGn66Y5iYoEqe5ENItjPQ', 'JtRWB1DVQZGrCSMte3LwazUlOMo4wGNvcOrk5fnkSEvKeNJAqRGS7f5b8oXtjG16fOptK7J6NxJ0Ug', 'tWOmqXR0ys6QTjegm0Pl6fb4mN5UXT_tf_cMIAjfYdWlTV2Y3mgxEb_eDyQOdRrm4AHIdlXAS57R7A', 'LOSW_2HtLudq3IO26xWlzSEQr_YBdH2fIsP0u3fhXG49qecrSx-uYSv_vq59IbyHv_GZ06O7RZBfaA', 'V8lkRF0RP5WLyEAM7kf0F4RJanDfdGveBZESxJBZPxaRoDgxwUtdIeVTZrmOzjeVHklBRlCJr1tz1g']",0,Twisted Fate,2,14,11,8097,12,4726,30939,0,90,38,18,939,3514,939,False,UTILITY,0,0,1,0,107
"['O_X5d6hgV1WsSFC11Tifin9dyi3Q5jodvy44-eD1h7NoNYhw4uwM7BXo88Pv64isy9s1_W_KG34yFg', 'hSKMVJL35U1ESi_VA9nVyA1_uHAemH1HIyrLsd7aRjnPSdrrP8_e_WiRBUSOaWMfTYRRj3sszk8-mA', '4qmINDZhrhHhpUjAtyoxwGmaQLcsQif4JSgOAsXVQ__hu_dS8Az50wjKfFjQlkBE13GAioHuEHHqBA', 'LOSW_2HtLudq3IO26xWlzSEQr_YBdH2fIsP0u3fhXG49qecrSx-uYSv_vq59IbyHv_GZ06O7RZBfaA', 'V8lkRF0RP5WLyEAM7kf0F4RJanDfdGveBZESxJBZPxaRoDgxwUtdIeVTZrmOzjeVHklBRlCJr1tz1g', 'ggyVPMe-3k7BTYLCLG4T0C8KzqfHE-lsITBaXnnsooCZzhF7To_12VvbhDEnqWD3avSLq7pHxH6NJQ', '4aI5ypyrEWBkpWBhpUAgxuigpV4TwFt-ZFTnMtawgRrVJGCbqXMgBuDPfUbBeV0Br6fwbwer9u3NfA', 'ODmv5nYKvp0ciE7UqLLS68TNeJ0ORrhvWDn6qpym3ThtGjF9kBa-DyArcsVAxKgOph844x1wsMk9uA', 'r12Hd_NYzplJTGwIaY46saht6TdNqlJzBXKH2WeEIGUeWB0alvOG2BFhMcxAwXrubIe7O0pZTgDwzQ', 'd_b2NQz-nB_x_FLJjDWzzZNVg4SPFl0Lek2mI1uQWMTcrKmgNQwpFi2Tm6BnBkvZz4acEcfDbyBkXA']",1,Zilean,0,0,0,500,0,0,408,0,0,0,0,16,16,16,False,UTILITY,0,0,0,0,0
"['SIX7r6PY5HAbGA7BjJAOxvcci2WDQL3Y3du_y-H-e2jbPaSYfpBKgCkwXnZnaIk6tWI31Is_t2ookQ', 'xSnCH2IRVMFB8cndQjdHye1JtbBGHGtM2M5pkwupEZ332bPSfZnTgPQMnKHWfHfFvlmk4vOPVNgD-w', 'JWU6mDCn84Rmj4Kx2-tBxjdNcs9MT3U-i17HwaEuDGvfRavnmWv9zTp8LX2PcTcSRTeN088Lr-8FaA', 'LOSW_2HtLudq3IO26xWlzSEQr_YBdH2fIsP0u3fhXG49qecrSx-uYSv_vq59IbyHv_GZ06O7RZBfaA', 'V8lkRF0RP5WLyEAM7kf0F4RJanDfdGveBZESxJBZPxaRoDgxwUtdIeVTZrmOzjeVHklBRlCJr1tz1g', 'NYTQXZTviKaXE-KWlzRUAJqyZrBSa0WHvo3EYv6Rn5-7KoB9RckzCZg1X-2P7awv7zIP8aEWPelH4A', 'xaGa42zY46O9Z89yWkvs13YL3QSRKUDO9MvUViYdHcINzC79g5LGOsaSUTTx-8HL6ds22Vb1Um6RMw', 'w7dP14_HURIkNgQSuzRAf0oKrpOn86_sLt7B_6JRXZ-YnhTYh5rf2vLlMLjbUNxuIkZNhwX67bLCMQ', 'oPjf8xStlevkAsJTExnk4RsdhblUYAbtaampyZGojvIgqLT3XaXV9rrSPhTgGVfalC47N_mSOKeI_w', 'ZUCCJtKS9tpQ5VU7Vfc0KAJgGesZFpw-he1HkoltEJgAa2R_xJS1ir-HzsS9Nbon-eVS6cJadn-bqA']",1,Pantheon,8,7,7,11067,18,14654,22779,0,18,64,19,3235,7798,3235,False,UTILITY,1,4,2,0,0
"['rqs9h4XYk-NGVUyRVogv5qkLtOsALkVljquD5IdnMK4NUhAcjZ8I2eUfUdjD4qVlsCtlaKPMN9BZfw', 'xaGa42zY46O9Z89yWkvs13YL3QSRKUDO9MvUViYdHcINzC79g5LGOsaSUTTx-8HL6ds22Vb1Um6RMw', 'dlZ7cE4pWyVzRjjPduf4E3E4TlGpS9N-GcWKc7UJKGC8JtVVXfqvGC6ZKknZ_7SN9qOyIf6KCS7FFg', 'LOSW_2HtLudq3IO26xWlzSEQr_YBdH2fIsP0u3fhXG49qecrSx-uYSv_vq59IbyHv_GZ06O7RZBfaA', 'V8lkRF0RP5WLyEAM7kf0F4RJanDfdGveBZESxJBZPxaRoDgxwUtdIeVTZrmOzjeVHklBRlCJr1tz1g', 'tqwO1QINde-o2-UpXkg8oyWCDlU_1PpCgzRdnM_-kVeoZPbDj2aJwWQgRJvWc3cTR2EXZM9-aFSBfA', 'NhdaUp7mdFwdrFbmAbTIbFWA7Rt7tOpMWdWQ-awPw_M430bUyVLpxb4H-xSMajevscKykZfSbXTuxg', 'JWU6mDCn84Rmj4Kx2-tBxjdNcs9MT3U-i17HwaEuDGvfRavnmWv9zTp8LX2PcTcSRTeN088Lr-8FaA', 'aH8N9naOE45quF7ewunNk5i5rAv395ieMSjfgtvkSRNfluYBnZ-JXPjAhk05NhovaGS1bwhNwbOhhg', 'X1doX_TQsUGD2u-Z1ySP4-yfq0xlYNvybVXcDL6qjZ_avKxMrV7SqraCspwZvyUEXjKmuuaNHCO4gQ']",1,Taric,3,4,12,7994,12,5278,18578,3235,164,38,16,1899,4149,1899,True,UTILITY,0,0,1,3235,5881
"['rqs9h4XYk-NGVUyRVogv5qkLtOsALkVljquD5IdnMK4NUhAcjZ8I2eUfUdjD4qVlsCtlaKPMN9BZfw', 'quUTxDbnKAzaxzb3UwYAgQ2b7W5rdY_DUOyzk0C_f4tSIWEggYouIU4tMaxsVblfw-3tmyu6Q_oAqQ', 'asjIAdshpCwVT2DVD3eIwxyrp6PFF76q6eCWzkzJIV1oPBQLe2YkHame6YHkq7wjyCPMXGKk98MoOw', 'LOSW_2HtLudq3IO26xWlzSEQr_YBdH2fIsP0u3fhXG49qecrSx-uYSv_vq59IbyHv_GZ06O7RZBfaA', 'V8lkRF0RP5WLyEAM7kf0F4RJanDfdGveBZESxJBZPxaRoDgxwUtdIeVTZrmOzjeVHklBRlCJr1tz1g', '7ViSw9641FcJaH5ZGwcoaNx7foy1_9JmjcQxgWNRicbCvJ13hx6M67D4lgEErNJ-BqjOMPAhjOvgkQ', 'W2Gq2ScOQKWCQnNZI7g8kjeovvU1qbhO-_AmL0jBhYYqSbvaDLr9xRcydY_L61jMH_4pp3ZT81KTeA', 'dlZ7cE4pWyVzRjjPduf4E3E4TlGpS9N-GcWKc7UJKGC8JtVVXfqvGC6ZKknZ_7SN9qOyIf6KCS7FFg', 'e381FLB3_nPzaIJ8K1bKULgDCnvVc2qvKvRxIOp8VcFbOqFPvSA9hNpjHqmMyWM6bZBZgoDH6e8qIg', 'PH6iujhMdw16jQdj0LpUIXHH_J-FHR2hdPm24F1V-i1xuNwwAuRgj91RKAccd0DaA7m1ssz5wi_Y1Q']",1,Taric,2,1,3,2345,4,1631,1928,84,72,3,2,174,174,174,True,UTILITY,0,2,2,84,266
"['Y1SujrpldiY9iKukOq9kVYKJybQ2dRHJw0xJN9clGrZ6lnVJyUlIhpPSg8W4bJLM7TAiaj423HcZEg', 'D5P13LcO4pSN6aks_e1hYF1DJLT7TsZ9rB9X4m3cImIiZP0qGKol7oJH36mC8vlQc7WVwglKn8Zbgw', 'w9MPFQzlXX2JRTUwWvByGmnorl-kgmNjY8BfMQ4Lppfg-t-6Tkd1JAO2YKZy4VOCwC5SdvcgMIsJPQ', 'LOSW_2HtLudq3IO26xWlzSEQr_YBdH2fIsP0u3fhXG49qecrSx-uYSv_vq59IbyHv_GZ06O7RZBfaA', 'V8lkRF0RP5WLyEAM7kf0F4RJanDfdGveBZESxJBZPxaRoDgxwUtdIeVTZrmOzjeVHklBRlCJr1tz1g', '5X3_3weJyn2SrjxqvBHzrgaDxpad7RAPqF2GdWxvP2Q26GZICrwjByv6gaJKS25fPxkxBK-tKfsWPQ', 'zXMRy4FHlmFrHxO5_VNd5QpDKOlvLQ4xiSpJ_13K7sD1iBTQ5P-N2532be5RdGAIOBVTuL4g-dGPGw', '-Z81Ui8eAIc4pWmetxETuPPknY8iRN88rGgBK1anfIJbCSXSEDbcGjvIMZu4y2y9veXV_UQW7T3YVA', 'JgICl2uVnRcapfudy_-cE5qMI8JHsjyKCBTWxy6GFxu4BakgkrhC0O9pTB1vTUEtV1OdnW9Eb_rwWQ', 's602RH3RvJCl55XzC6wpFGbXQWTEiP_KuftjKXSLxFI7xRuGCBl_uAdDwZD1QmESxAdPh4hmx6o6XQ']",1,Milio,0,3,13,6423,1,5900,13557,5669,107,24,11,1876,2814,1876,False,UTILITY,1,0,0,5669,5858
"['tsjDWHYwR6l90F4r5BUyhP7n6NpLfMS70V5xxgq5gWFajKqRz4FQui2NVW8FwWqII2TFivvHYdSorw', 'TVSv79HlXYDHpm0yuVdcljmnHpZSy0rsigDvdAW8lITvkTFRPII03kLsPkvvOyAIC2gaUy2eBkKxmA', 'XTwbNoPAsVcNYRuhldm3fL1jjSiIWWaSY4JO7BskC7LruQGdlRUJbM-Gi62p1evQBRNeauEpJWqr4w', 'qtr-CLSBKMCDO0IAGHx78pMy3QaO8OGuh4hSy_E25OgFNcd33KUXGSBGOi3ImtiZwE02687HutMT3A', 'ij2MmBXXLgjYGB0N4bnZn-5Xy8_U9MDOKxqRBMibFJYK4yve5sev9vFtCz4FnfdzM-9CDU0tWCeptg', 'CtNdgMt5n7HsKWCPGMVwkaTwAI2-0u_2XIUYnIH_hKmRaK_Xv7OSg3Q1SnaWVYCLaNDg7E7xdiIcIA', '8YwU1PFXdiuuZVthup_BEd6quuV5Ud3jfXIHN8ikfN5iEYft1OQWWxJA4A5kIbpYgXAOqhVEIsxWiA', 'w9MPFQzlXX2JRTUwWvByGmnorl-kgmNjY8BfMQ4Lppfg-t-6Tkd1JAO2YKZy4VOCwC5SdvcgMIsJPQ', 'LOSW_2HtLudq3IO26xWlzSEQr_YBdH2fIsP0u3fhXG49qecrSx-uYSv_vq59IbyHv_GZ06O7RZBfaA', 'V8lkRF0RP5WLyEAM7kf0F4RJanDfdGveBZESxJBZPxaRoDgxwUtdIeVTZrmOzjeVHklBRlCJr1tz1g']",1,Taric,8,2,27,10234,12,20574,19994,3860,300,31,16,3500,5939,3500,True,UTILITY,0,5,1,3860,10714
"['Hp0XHRBM2muiWUg_OBDcgFVl1uwOb9J4m2lKboyptTv0uR-fia4z4VZFUuWo6ggmo1ebWIPo6I4rQw', 'UMKdSAz9Vs8BA73E4mSpWs9AGStYRT4Emgb2Gfo0Gr6zKTVZHMVcnZ-J6BKJ_e1E8fiPFMr6IoShaA', 'w9MPFQzlXX2JRTUwWvByGmnorl-kgmNjY8BfMQ4Lppfg-t-6Tkd1JAO2YKZy4VOCwC5SdvcgMIsJPQ', 'LOSW_2HtLudq3IO26xWlzSEQr_YBdH2fIsP0u3fhXG49qecrSx-uYSv_vq59IbyHv_GZ06O7RZBfaA', 'V8lkRF0RP5WLyEAM7kf0F4RJanDfdGveBZESxJBZPxaRoDgxwUtdIeVTZrmOzjeVHklBRlCJr1tz1g', 'ZPgtd_x2nquBaqUGo0k7vzsOwYiOyXok2pr--ErekrR0yyKA6TznfGYLlsvS4mpcfFjOUOTLkIjOlQ', 'tpmdk2Exq_wGpYjxh6FJtGn8jmdYbczaOF91oR80TDTUiYZY27NG2DIDPQrmtzlWylsF5yyrtnhRuA', 'eUNu1wBjGXyF1yMzbZGwEkrZEWHEUPY1_eXcky9VXjZ-i_0ZUHm6qtMaypja86vm2o__5FG-oooVwg', 'Ocvj68nHzxJQKwzeIR31pw-nKh8jwjqmuWZi86zcrOZ79z8MGoBGl8YfoRAqHFvWMyN37vLaYsid4A', 'i6x1Ri2BuzWTnaKt3E3gmGRzRPyzylcuqQ1N8IkwG4lwc0KeWnw_CKhQmxBsR20C9COVs8Jp4MsxuQ']",0,Ekko,4,8,3,7538,24,10467,19487,0,126,18,9,1967,7534,1967,False,UTILITY,0,2,1,0,0
"['EdzHTpiOP8vrJt_dk9zzdb1_MX2LB6RNU1uCap23XkSUpoOf5gI9UgNNGXfq4JHjkruB5995rVsulA', 'Fb41dprZqBdqNJ7gyV8roefWYqcI9KH-KuazOIdBrnoZzLSKrVJZk7bgpZBvo6RP3Oar6QpaAOJRjw', 'Le0VBbnpGEgM_m1fvAe39d0yWrfMcUEga-K1tlCegeZKeUawzBKWm8vXHs6ucJtNjgLKsmr1TQJVXQ', 'oJWQ4h5rKSuu99HBSXHPFIB13kAqIBnbGDwUYvy0uWmqTI1OlYuH0jvwDX7LgR9ATzoLz8BOh-FfsA', 'pwRDShqluPV7Lpny6f2-4K9ec6JPA4jlifM5VGwRel6x5_zyW71FR_HjITfJ3kyc61CI5rLRn1vy_w', 'd66zRs2wr3In3cbz_fPo1cbUt99SyQNUr78FGsGcm_BmaZNY9puvPrt_j6b7zXv5pXNg4qoBETm5aQ', '7CKBN69b23h8oNhnZ_Q81daYeS0nPYj5aNo8lekjqnJ9WppSB9Z0gmZHGfr65-26KlKVn_gaZKGhcw', 'v9cKAiyHdtPQ4HXfm7RKoUiH4Qme9tpon2h-j6977gySZVShcbpHA_rqcGRtvR_jdIltku3KSZRBYw', 'LOSW_2HtLudq3IO26xWlzSEQr_YBdH2fIsP0u3fhXG49qecrSx-uYSv_vq59IbyHv_GZ06O7RZBfaA', 'V8lkRF0RP5WLyEAM7kf0F4RJanDfdGveBZESxJBZPxaRoDgxwUtdIeVTZrmOzjeVHklBRlCJr1tz1g']",1,Twisted Fate,3,8,14,9019,17,8363,17731,0,77,37,12,1622,5320,1622,False,UTILITY,1,2,1,0,477
"['3LyCQhP6gtKFz7fF99k32i8qFXZ-6CTKrUMkXHH-rfzw2SHsPBE3gspLih11TqGFmMkte4JJ7zwRIQ', 'Ik6745N9JskNQaGiVy14B5293Xw4PzGa-NddU9-6tcg1lTa5xIiVCdLDiNpTpdmLt4E6eqf68Iuo9w', 'tJy5c2SE9TkHEEXOIKEtS750E1LNwJBt0GtHVS2AKv-z8ywjJv3QgbRDz1RcCPghu7oLAiPhdkQCXw', 'WZ2hPUjGdUOf0FAXcX0aBHNVshrR-F9xF606R_qI2nOwNLXtGo58BIPuZUyk1oy99fwCQ3k2yY1-Hw', 'QgqvZ_YvPfDQjHiUHL2Y8zUlmRMSJlpaXf1f6dUm7dpp5yxYF5u9iyDpy3cNp84-dKhrbxdUz5IqwA', 'd66zRs2wr3In3cbz_fPo1cbUt99SyQNUr78FGsGcm_BmaZNY9puvPrt_j6b7zXv5pXNg4qoBETm5aQ', '7CKBN69b23h8oNhnZ_Q81daYeS0nPYj5aNo8lekjqnJ9WppSB9Z0gmZHGfr65-26KlKVn_gaZKGhcw', 'v9cKAiyHdtPQ4HXfm7RKoUiH4Qme9tpon2h-j6977gySZVShcbpHA_rqcGRtvR_jdIltku3KSZRBYw', 'LOSW_2HtLudq3IO26xWlzSEQr_YBdH2fIsP0u3fhXG49qecrSx-uYSv_vq59IbyHv_GZ06O7RZBfaA', 'V8lkRF0RP5WLyEAM7kf0F4RJanDfdGveBZESxJBZPxaRoDgxwUtdIeVTZrmOzjeVHklBRlCJr1tz1g']",1,Twisted Fate,1,4,11,5928,8,5829,9216,0,82,9,6,580,5581,580,True,UTILITY,0,0,1,0,173
"['mK-o19hdnfcDX021S6BvhfEG2Wc40y8Y9jqs8Unxh653ACDeHpBS2DH9ausKQ1-PRi4SHhk831A-WQ', 'P7SksUuU-xm7WUUGlZyXrKRjNNv40jBV9IEhgleZcchiBEBIbYWYYV2QGFX0_yibaAGBjDYVLvrwbA', 'LKvpLafiElM4hkFYihDiOfWchlAG3HezrQU9oaMzY_7a2YBAPVRYEBCztDY48Pekix0Ae_TV8XmB_A', '7bn_jtvVtseC9efyH-ezH8RvYQXWBphayKnufzyFya05WOhqAJFTVhWJtbwDBhpDj0S8k6xOXSYI9Q', 'uiY4GuZn3c7ymy-RqFoGvpzj8sX4YuEXb_sjaeuLEibMwDRgaykDy1pQaPos4xoZ_eygQiHWf_5gwg', 'd66zRs2wr3In3cbz_fPo1cbUt99SyQNUr78FGsGcm_BmaZNY9puvPrt_j6b7zXv5pXNg4qoBETm5aQ', 'V8lkRF0RP5WLyEAM7kf0F4RJanDfdGveBZESxJBZPxaRoDgxwUtdIeVTZrmOzjeVHklBRlCJr1tz1g', '65b4YhzrAnliRUdeOfuFBYyFEd3QvgnTAhuxTOj4Ocw9iMHI0Q9dvH09Pt_K_U1QJ0vzaKl53HXUpw', 'v9cKAiyHdtPQ4HXfm7RKoUiH4Qme9tpon2h-j6977gySZVShcbpHA_rqcGRtvR_jdIltku3KSZRBYw', 'w9MPFQzlXX2JRTUwWvByGmnorl-kgmNjY8BfMQ4Lppfg-t-6Tkd1JAO2YKZy4VOCwC5SdvcgMIsJPQ']",1,Kindred,11,7,7,11446,10,13283,26420,0,179,11,4,996,38710,996,False,JUNGLE,1,3,2,0,2872
"['Fcw1XxEpLyYFGP7M-sYuj2C8T4KCNusX1DMhiAh6SW5fIndnrmphbb3qgo2DQh4zIOhyc7mKkS-ajw', 'SQwcfyfzvVwQwC7c5bnwBpKQQKDgnRmniSMHuRR2JUuC5JpJuTVsbat5q3yXbX66qS5a52neckAg5Q', '4qOik75emcT_B-XVTnQq7-Nl9mVUXYESGwqT5VdQTFsyG5_tKEeg5LIvnHySFwlH_L-OUOkuuq3XMw', 'A0THcnqrg6LCpuKLwznO37dPXNXjS7aLn3EgmVG40ihFq5z7tU_37egT8aE3cmHSYW_NZNcnncP9yw', 'zSRhLd13hFwWMEUi43z1Spt0IqQEJj7MnB4lI6RQ6TwVRWIp-yndhUiPY3_AaUavAjYwBH0oRWrGHA', 'd66zRs2wr3In3cbz_fPo1cbUt99SyQNUr78FGsGcm_BmaZNY9puvPrt_j6b7zXv5pXNg4qoBETm5aQ', 'V8lkRF0RP5WLyEAM7kf0F4RJanDfdGveBZESxJBZPxaRoDgxwUtdIeVTZrmOzjeVHklBRlCJr1tz1g', 'v9cKAiyHdtPQ4HXfm7RKoUiH4Qme9tpon2h-j6977gySZVShcbpHA_rqcGRtvR_jdIltku3KSZRBYw', '65b4YhzrAnliRUdeOfuFBYyFEd3QvgnTAhuxTOj4Ocw9iMHI0Q9dvH09Pt_K_U1QJ0vzaKl53HXUpw', 'w9MPFQzlXX2JRTUwWvByGmnorl-kgmNjY8BfMQ4Lppfg-t-6Tkd1JAO2YKZy4VOCwC5SdvcgMIsJPQ']",0,Twisted Fate,5,8,8,14378,55,15173,46332,0,576,28,10,0,12146,0,False,JUNGLE,0,3,1,0,0
"['C_y_7G8dryEs-wAc7LFctidpDqXTk0GE3p7xYdqolv8dBpHWbXDh7_lxg6SHCWPuNuzQTe3JCBVNEQ', 'b0u3Zz-XusC-Rdyrfro9Od0vPh_7vrrFBvf1wdeXlylk7m1B67OoeaKJe64swIdLga-0VixryQMruA', 'MlO4kbd8_TvbwKKbHUQNErKWx_0YBMmREMCY_krr8II_2fIj-dwrMDk5Q6QHejL2fU_SZUAMTZWxfg', 'SwX7fJbnGFM7K-GSvkcqkvKhxvTxRe90Mh7KpSrqBU1iO8jrXR8nPhQs1ohjPg9jZ0zqiXW57k8vDQ', 'F2-Ihmrbg6MkPz5u7hIOZgPw3Is_ZdIUaQCsDjXb13UEUjXflf4VWc3pH0eMtArNwTj3IxLNz008mg', '-qcVfkj8M4tsiLxecUkLkTk8OtK7OBZwvihx3LOKlFuJY0svnxxBSyZiYVVCkwL4hwWl1CJuSOFA7w', 'w9MPFQzlXX2JRTUwWvByGmnorl-kgmNjY8BfMQ4Lppfg-t-6Tkd1JAO2YKZy4VOCwC5SdvcgMIsJPQ', 'V8lkRF0RP5WLyEAM7kf0F4RJanDfdGveBZESxJBZPxaRoDgxwUtdIeVTZrmOzjeVHklBRlCJr1tz1g', 'LOSW_2HtLudq3IO26xWlzSEQr_YBdH2fIsP0u3fhXG49qecrSx-uYSv_vq59IbyHv_GZ06O7RZBfaA', 'v9cKAiyHdtPQ4HXfm7RKoUiH4Qme9tpon2h-j6977gySZVShcbpHA_rqcGRtvR_jdIltku3KSZRBYw']",1,Sylas,2,4,1,4274,72,7076,13048,0,133,2,2,0,0,0,True,MIDDLE,0,0,1,0,0
