participants,win,champion,kills,deaths,assists,gold_earned,total_minions_killed,total_damage_dealt_champions,total_damage_taken,total_damage_shielded_teammates,total_time_crowd_controlled,vision_score,wards_placed,damage_dealt_to_buildings,damage_dealt_to_objectives,damage_dealt_to_turrets,game_ended_in_surrender,individual_position,inhibitor_takedowns,largest_killing_spree,largest_multi_kill,total_damage_shielded_on_teammates,total_heals_on_teammates,loadTime
"['gDEeN47DxFR3Uey0n4YUma-czGHAzUvzew--7V0z0k4WfA0vg-3xiWv44DV-uvuKAKA123Ug6pnnuQ', 'TRFZYYn7NuQ2SmorjzWy3pwGVPDtWZGNara05-nf8YytfejDnhbMspMiqJvwdEdQVuRm-r5W5BhRqQ', 'pJCRKmAWfZNAluI8wX5-TqJXyEcKAVRBgqXsqd2eS7puWIi3JBhDDNR5wc_VmSgfFKLCWWjFCz1mxQ', 'G2SBG1Ha5P1IVEnhd1Tr0GD8Pj41YGKKvXR-3RuHcXkWMGGRwXKoMJkBV41Y-BKZbIq9jVNbC4MG7g', 'ZaUdp4b6Zvi42R8H2x70rJNX2T1GxoUWS7jktOGlF_GsHdsQT0vYIzp2mIvH9xcg9aNW5TCPoLAbxA', 'Rh13h6wvGWuBpbp6gzD7Ym-qUGW0_E10ZV2bepDSOac6eECP8BmYzMOyKqLGAlEJ6CAVBYYoUuPIaQ', '-PPDxbn9GGgLmKcYtkctIWEqLsZzesO-BQ0cGlg09rmt67PnbRLVu39sT9tsYPhzrIqWHOL23nG4Xg', 'jVGAFoSTzM3n_JujjK8iFnZtDrKY5af-jzqS_cTJGyRiyqSHLfigiGExZsCsoK4WPRxTx-LJSE7SNA', 'VhfAI2-Uqm_lwZVyT_d2GueSWxqJrwgkdBz5Inb1KT7BbWNAlgF2C7LgLF9XhdhkWgJ18vTU8yq9Ng', 'H8WklvI90BwEbkL4zqKeZsCfhqs7E2D4WHUgWaoP15k2Jt0k0QQWSdrbnVuo3W7GX5D4kxRsMZqEcQ']",1,Jinx,11,5,6,12704,188,25903,15461,0,54,9,7,6356,12368,6356,True,BOTTOM,1,6,4,0,0,41.568
"['IyHljyLtk7qhbHYf1ZhA8lywGrSIY_E10-9FG2Dxlwk6Mtj0rr9G1qXIjlNbVuapPrfQpeEMIGVUGQ', 'JtMmwq3zr8v8V06OlqIn2Py0WgLzEIof85IVIgQW3l1V-ncvQEppRdXJdjDLi5CrJLS0SaN1vxD_ow', '-EOjXaL_1uw-2_rPQAZTwDlw0E7ae_XjEyJVAeDKMOMyTZM9U8qHGI-wtPQfMAoBdh3SkIwWFuuTZA', 'rGkDfxG5D04Rvv39T_1ODQpnvnz_U6E5RUiaSBLtQUX2kg1hKbOzLIxWim6IHsLTDFHRCbXhGOufgw', 'nKVo3LipI_t-7obB3_m_L0ySoV-9kvivqGMO1PAprNBgSyfTmp7KIxpvEhAFVEmO9uLkvl-68qbgLA', 'QYo8akjAYgoxGg9f_09Ky0gtGFYLSU1CSlfFKCp2_jjv3vCogyiPLqWaaPvI4aDC8VsFObw4AwND3g', 'ozJaM8NaCJ9-F88QzBRRFJiVU0F39KjdjTsaYISs2HHK6se9gDbWcGv-fAqYGiBEgH_2J7gCg2kltA', 'XGpEtCqxAKACTISHM1_qbfQoJXUX_uHgNShMN3PpahJ5GoC_F4FIpGfkg82LiNg7M_7ks7JJvE_Pgg', 'G2SBG1Ha5P1IVEnhd1Tr0GD8Pj41YGKKvXR-3RuHcXkWMGGRwXKoMJkBV41Y-BKZbIq9jVNbC4MG7g', 'rb-ZFseLXQXuP7Kn0mN0phEqqaltIO2oSRb3JoItPlotNzhGFDijytK2Tcbh-BR3f8mphEWp9ASdCA']",0,Viktor,4,9,6,8677,155,15051,21839,0,170,11,7,258,258,258,True,BOTTOM,0,0,1,0,0,28.556
"['ups-LhsZ0KFF_5kQoA-EI1cHlQVltNMaOvR9-KYq6OlDvVbIS30DEOJOm2iS-LG_ZTzi3zFsgpnvug', 'tPhAUuqe_2E62j-ShxWCVot8MA1-UREWAncJX74SAl3gy3CADtG__abuFSQPlUsOnjci22Ci_YBXeQ', 'QYo8akjAYgoxGg9f_09Ky0gtGFYLSU1CSlfFKCp2_jjv3vCogyiPLqWaaPvI4aDC8VsFObw4AwND3g', 'G2SBG1Ha5P1IVEnhd1Tr0GD8Pj41YGKKvXR-3RuHcXkWMGGRwXKoMJkBV41Y-BKZbIq9jVNbC4MG7g', 'rb-ZFseLXQXuP7Kn0mN0phEqqaltIO2oSRb3JoItPlotNzhGFDijytK2Tcbh-BR3f8mphEWp9ASdCA', 'CaQx-olNMWZ1QWBhfRp3Nk3570VDnlNrvxlAPQHqwk8CCR5rL9vGe15_TiBcMfPjUpwijP152wO8XA', 'JJG1EnCMJ08_f3wZwQIjcRqhzHKOpoCfU7l7YFmlENXML-FyAokHnRyZDMzkuG3k9R361Ezp0jP0Ag', 'P0BuR6meLs7_BtsyPoaerbjtJknbg_EKv5BtJcN2HyoBsTD2rFNP8_uAmzOvkZ4U2-2P6FPzAIJv9g', '_mkQGu5TEseHVv6pYtiW5MVVV3URJf_JnEA5_s8TNK5k3Lw2Yxiyi93g2qyD03uJjgdnePseNiWolw', 'AGv1pQDF-Or54W3Igio4N-n0cqtcf-UrDtuQfnOyOTwdRuqqB_THGTMuPJ3xfqSB5XNld58tL5gmHg']",0,Jinx,4,3,1,6122,97,7857,8298,0,30,7,4,1186,1186,1186,True,BOTTOM,0,3,2,0,0,24.933
"['wIrWtomrHuReaK1KveHiKCSMdKTkudJgSvNz5U1fLvkJtNeUU8VlwUnq0PGl65vLE3stwbT7YZ6T3g', 'jzPLuvFlPv6nFg782W9MYo80PCMLG-G2uJBLMMkunS5CwEfP9njKF7WeXb_DdINkbB3GjS-0zLle5Q', 'QYo8akjAYgoxGg9f_09Ky0gtGFYLSU1CSlfFKCp2_jjv3vCogyiPLqWaaPvI4aDC8VsFObw4AwND3g', 'G2SBG1Ha5P1IVEnhd1Tr0GD8Pj41YGKKvXR-3RuHcXkWMGGRwXKoMJkBV41Y-BKZbIq9jVNbC4MG7g', 'rb-ZFseLXQXuP7Kn0mN0phEqqaltIO2oSRb3JoItPlotNzhGFDijytK2Tcbh-BR3f8mphEWp9ASdCA', 'ups-LhsZ0KFF_5kQoA-EI1cHlQVltNMaOvR9-KYq6OlDvVbIS30DEOJOm2iS-LG_ZTzi3zFsgpnvug', 'h3ZYfE02JfEJMFOjGkl6j1hL4Wb3p9qlXZlTHBmRRX8B8LrusOlHbV2BuvghjSLNsAUzjR_Cp9YKjQ', 'd-I_Nv-GGcBMFf79UkbUMTs3KCqgGByEHvN1bWu-4y5Y5p-KHy0CTieSqF6u1_sHWPMA8XnM_zFrMg', '8zTsELeOimDWYqyVTCt1kN4l3uBxQE6f2pPASpewyQ_UnvPUhutD7SSneThMGpRHL0vLACgQJWJR1A', 'wUjcx8eE4vUKG7VTWPellkXi89pwPuDoR_3NINvAWSx1dp7ekM4dXd5A3MrZm2VPar_WqSRPGg8D1A']",1,Jinx,9,1,4,10257,169,14923,12168,0,46,11,6,4695,9409,4695,True,BOTTOM,0,7,1,0,0,36.857
"['2q2kG0VkVhgc55HdQU7ZUgdC1xtAooaa60xP7q1Y0dE62CDGGilmA0JQdKULs5FbaCyJ2LL9IoK0OA', 'qy6zI2y-okBAGIo6Xjy-0KUZzEnZJAenKb5Ctx4-wipHZwTLd6x1M8sGJZJ_oBrEL7GRDUXiQwBtTA', 'Fs_k8ieytQlqqPaHJ_LgNVnFhHTTIkkzqb_T-7ifi02HnlJBTgvm5puLcz0Wz2h1m2DAfNcks8CU4w', '2c1IWK0-gwSyPuMiq5_lZQQk0gqc5v-5pDRlMAuYyTiV1Kc7sm0wNzUL0f_QCg_LgY3z-_kcWuda7A', 'Y_6ZTk-CXkgMkNQ3Tguvn1le43qmnV6qFfwK8wHdbtQ5wb-hh9UmoyKk7wxthw2P5BOlxlZJW5AOCA', 'avkHaEHxpUJIoeGLvYFNrmfPtqI-QYur69zcnnnNSZnSkJt_dKcmNni4LPE34TUaHUwyy0AbZwrX4A', 'HDgLWLPtQduD6TfFEIplGtsELPaMHMLFLjjM0yIoi2ZYHLYKgn01B-1noY4cpPv-z7cGZjlHcBfNUA', 'QYo8akjAYgoxGg9f_09Ky0gtGFYLSU1CSlfFKCp2_jjv3vCogyiPLqWaaPvI4aDC8VsFObw4AwND3g', 'G2SBG1Ha5P1IVEnhd1Tr0GD8Pj41YGKKvXR-3RuHcXkWMGGRwXKoMJkBV41Y-BKZbIq9jVNbC4MG7g', 'rb-ZFseLXQXuP7Kn0mN0phEqqaltIO2oSRb3JoItPlotNzhGFDijytK2Tcbh-BR3f8mphEWp9ASdCA']",0,Jinx,3,8,6,9212,184,11807,21135,0,53,10,7,1863,2316,1863,True,BOTTOM,0,0,1,0,0,76.089
"['ozJaM8NaCJ9-F88QzBRRFJiVU0F39KjdjTsaYISs2HHK6se9gDbWcGv-fAqYGiBEgH_2J7gCg2kltA', 'QYo8akjAYgoxGg9f_09Ky0gtGFYLSU1CSlfFKCp2_jjv3vCogyiPLqWaaPvI4aDC8VsFObw4AwND3g', 'XGpEtCqxAKACTISHM1_qbfQoJXUX_uHgNShMN3PpahJ5GoC_F4FIpGfkg82LiNg7M_7ks7JJvE_Pgg', 'G2SBG1Ha5P1IVEnhd1Tr0GD8Pj41YGKKvXR-3RuHcXkWMGGRwXKoMJkBV41Y-BKZbIq9jVNbC4MG7g', 'qy4uu9oPsvKgY_yDWfXGqSkM6LX8iZ2lKMDHScJPYsMdPNMA6kxMP5gRuev0NmsCPWn1dnJMHmKetQ', 'vcq6tQzmFT9Po_pUUfyPNI0yvCTyc1_2xjCI8nhgBk1kFoy_71-hLm9kG2GQqNIA5ZQh8z-pqW8THA', 'N2lH8C4RFy2R_EJUol3iSkDW-kafP6oS8UFHxvAIr3tXXnK6GZId8mqNIIBb0WSHmEanuBWM1Vpmxg', 'b0KV83ZysCYPOWkDxRD4fpa3N5DqR2tRdtozyoIzMonlgtkvD4qoruL4173b_WFhDHfrI5U2WWPXbg', '8-tD02cg015Khhs6R22fWUxv0xPdRG99VCFYyT87DhOnP50-HySXqC90pWb9ejqcL_zovzyiCjIHlQ', 's9de6gv-Y5h1Nvb0eEFHK29w-CngfQoufNrnslKm01H7UdDMG4tjHWcE_sYwf-Hd5T8dOOxCk_fvIw']",0,Jinx,8,6,0,12482,212,21539,20260,0,61,14,7,5845,5951,5845,True,BOTTOM,0,5,2,0,0,21.878
"['o2CxrE_QrxSH9J2ajLEsCWqOJ_h6oaHi-pSshGH_QmGJ29DhSqnxUPUH0SSwLKL2ISIPen5qGX9cBg', '1qD7H6eESXlT-h9Td7HOxAOENNbTs26tuhb-01egG4wBmbWBKa7r_4m6BUHspLYON7rdTY87qbZUgQ', 'iu8zsbM21hAQapSrlLPdQKEwSVTRmlhZkG9h8-PX3ebCrgbwl2pcdx-dkER_i-rvwR_ThdG4A2H3XA', 'tITZaNg48FKO0peiIO1CdIGg99KM4L3vV5HYzanFanb0LAv1okgUjdzJPJnsheD5OX-LwKmUws-Buw', 'DrQJj_2wtxbrHVn9ikpgKIZzO2D1bqrxO_Dyj9VJ2_98uHKsNVWH__OgA4MhkhiRGBKMHmwz_2bESw', 'qy4uu9oPsvKgY_yDWfXGqSkM6LX8iZ2lKMDHScJPYsMdPNMA6kxMP5gRuev0NmsCPWn1dnJMHmKetQ', 'QYo8akjAYgoxGg9f_09Ky0gtGFYLSU1CSlfFKCp2_jjv3vCogyiPLqWaaPvI4aDC8VsFObw4AwND3g', 'XGpEtCqxAKACTISHM1_qbfQoJXUX_uHgNShMN3PpahJ5GoC_F4FIpGfkg82LiNg7M_7ks7JJvE_Pgg', 'G2SBG1Ha5P1IVEnhd1Tr0GD8Pj41YGKKvXR-3RuHcXkWMGGRwXKoMJkBV41Y-BKZbIq9jVNbC4MG7g', 'ozJaM8NaCJ9-F88QzBRRFJiVU0F39KjdjTsaYISs2HHK6se9gDbWcGv-fAqYGiBEgH_2J7gCg2kltA']",0,Jinx,3,6,0,The Timeless,176,7633,14639,0,41,13,7,2514,2514,2514,True,BOTTOM,0,0,1,0,0,79.06
"['ozJaM8NaCJ9-F88QzBRRFJiVU0F39KjdjTsaYISs2HHK6se9gDbWcGv-fAqYGiBEgH_2J7gCg2kltA', 'tdKhG1_fs_an5VJx213WsrsIkoUaL51ukTOiUa1c-J8fZW_vhP2rV_YoAr4GFMPA7-KHi6Z9faXqgA', 'XGpEtCqxAKACTISHM1_qbfQoJXUX_uHgNShMN3PpahJ5GoC_F4FIpGfkg82LiNg7M_7ks7JJvE_Pgg', 'G2SBG1Ha5P1IVEnhd1Tr0GD8Pj41YGKKvXR-3RuHcXkWMGGRwXKoMJkBV41Y-BKZbIq9jVNbC4MG7g', 'QYo8akjAYgoxGg9f_09Ky0gtGFYLSU1CSlfFKCp2_jjv3vCogyiPLqWaaPvI4aDC8VsFObw4AwND3g', '9fMc0qmcF0ihS7J0u703B6V40bNvRtGx2bDmwMNVIqru0ulqbf8ubGJQEp2U6I3fUD0hunGOIw7PAA', 'VoF5JgfF9bV8O2Zr-Hwu_jSJ3fstRrsUf9KuEb52lEHsf_CHY9JV3rsfe36HlOqih9kxU_XrAWU3VQ', 'mp-wy8pZafEjgOBheTCDD7cp3X1y34m8QW0nsq-Iw_u9CwG5RUchV-mp8eJ6NVkt1U2ppZ3JMdPVXA', 'M7x5heZ1gI2fvEfeVXQ2sx3usonSoPxcvoozByCg3FdENI2AKjO4NhaVnM-UfA5lYNCmrzSBjTd-yg', 'mM3kGUtHFJw-saTzWY1cPefd-ZpTkznosfe49f1A62fegO3GY_sqmDXzv-2eJW7Oe5AQ4m5Wz9GbBA']",1,Jinx,19,9,8,22384,355,57333,38453,0,209,24,9,14117,20597,14117,False,BOTTOM,1,7,3,0,0,18.458
"['ozJaM8NaCJ9-F88QzBRRFJiVU0F39KjdjTsaYISs2HHK6se9gDbWcGv-fAqYGiBEgH_2J7gCg2kltA', 'e6gR3aKcGDT6MoaI4Jett0L7kxScvYTWkjzDfhNyp3mwYzL0MsLmgBJ_wH30Twq9JLO0u7Sxx9si1w', 'BsJh4hlb_1oDmdNMi2eMNqormV6Ga6VnyLPYTFDSgsiMiNY4rZVfFsiRmhu4L4MNutZLqgetcDcCww', 'G2SBG1Ha5P1IVEnhd1Tr0GD8Pj41YGKKvXR-3RuHcXkWMGGRwXKoMJkBV41Y-BKZbIq9jVNbC4MG7g', 'QYo8akjAYgoxGg9f_09Ky0gtGFYLSU1CSlfFKCp2_jjv3vCogyiPLqWaaPvI4aDC8VsFObw4AwND3g', 'NtsZrMNs3iesrQy1rxke7RASALULcxVS5qC9jC1kSazzoOGozJZQm_IdGXy1xJC8vDq4jQgkNBI03Q', '7fx5aKrT2cBt7CS_le1UWonFJ8EwOyiGs9ySf6cnEA4bFmpLsn_7EguLBbHRcjSX5qbbMVzlPvTMFQ', 'ifTvsTK-rvmRqOasmBs6fbbLJ_icjQYsLN8bDtRFenqGtRt6bmGhNAM7rSWHJpmpvMRHpcvV3CAokQ', 'XSujcpxcPp3S6Cu-LAKv0k3BSs-tR0QvN9v2zO9hlZwudpFNbdoc6YiX3cw2NsjoMFtBzMkpD8M06g', 'oQLKAO5Fxm7JBkNWVbvgr8fI_nWthDQM_tqAI3HjtS5IHjY6uBS3wgRC7YVN0lSCKUgP2W6fe8p4Dw']",1,Jinx,26,5,9,18346,209,55015,20859,0,127,8,6,13235,22587,13235,False,BOTTOM,2,13,4,0,0,25.417
"['BtCOhxSsRXc4ztqie6KaPYcQ1tvjQTv-SaU81DUYEiy5KYQXBRs82dDYn4h6aTpMbbaZsHXl3z0akQ', 'fE7HJ0Iy1VM-lSD8u2UNOWXh4Hw161iG-QWE7tlwGCcLAIKU9eCLqho64-6AwuhhpkD5iahx0wZNUg', '6Evs4gFoGptEX5XWlBsn74_bR1CQLPue7R-9SnTgnzCTutObyJtwvcLzfMOB2_MbgFvuJRjsQuwcpg', 'WLCpfKixD1RNfWSj5lrMRVV0h_EQbTKeDcRJWxvQAKb-_5JHe3KsYF7enHtDfFdeZRplzv9u70iC6A', 'BcNhwZQtugXSfkf-ODctGb8Y7y8j6DTPt9RNmTEPY1l3j9Rrx9MFGTXPw5vmPsvM2CkECmNOkjr5EQ', 'C8OmmVMy5W4MGTCnKobwkUauFZemcZ6Twb19vsnfybW2a4C3M3mXPfBbvB6FwyXSKIk-S66C-Yr4uQ', '4uxKcQHhKu7FoJQznB4YxvQFqjr2WlSDrApL8xTUyrSZwl-Ne-kmtU_GCuTxMqKhmbKNFFrRFNso6w', 'qM3KHWoDcpcSv5DJ7wd1ko4GANBJi_tsdz5sxJl0u1njEnZLpeakh7ZbEOvkcvzQQkUcKVJWvWXbrQ', 'G2SBG1Ha5P1IVEnhd1Tr0GD8Pj41YGKKvXR-3RuHcXkWMGGRwXKoMJkBV41Y-BKZbIq9jVNbC4MG7g', 'QYo8akjAYgoxGg9f_09Ky0gtGFYLSU1CSlfFKCp2_jjv3vCogyiPLqWaaPvI4aDC8VsFObw4AwND3g']",0,Akshan,18,10,12,20077,243,36915,32048,0,20,19,9,7176,17196,7176,False,BOTTOM,0,8,2,0,0,21.794
"['ZDDzo-MCV4QZVyS3uJfjcdFsbQKDCQLTqbBLIveRLtQdZBZRtFIhErSE80uU5QElYXLPV9eg0oAezg', 'MjxhKUi5cTvrlx668ce6NV_qzCg5b-76SRkbCw9j-psMXVRFLITF3mInMz6Z7I7MGVJLBII-134SKw', '28Kfs0Wpx6S_jEKP2NUHgMASxGmtE2oLqBxi9PYG-chcqDR6F_vfDiD1fkBaK7XuvJvE3Dg1XteQmg', 'G2SBG1Ha5P1IVEnhd1Tr0GD8Pj41YGKKvXR-3RuHcXkWMGGRwXKoMJkBV41Y-BKZbIq9jVNbC4MG7g', 'QYo8akjAYgoxGg9f_09Ky0gtGFYLSU1CSlfFKCp2_jjv3vCogyiPLqWaaPvI4aDC8VsFObw4AwND3g', 'aCp5na0rqRPZt1nGQ8eP1LMHqvpUApaqA1UZ8ubukw1d7rhXTtaYkPAXl9PJuD5glKJn-i1nLDxqiA', 'nIkMSvsNn2hKXyiQh7vLMgTxIRYk1E4pnC0mvZ0DaSYzJNkvEr3WELRLU_23HUA-HLbIB65KzpuPVA', 'MMVzCFAWrXZOkRJRL9mcbs9sRSWxjx_2uSvqwvjxIT2RAlFfP2s2ZrT_tBgTXfpqHeBxE1hlAfyLHg', 'QQ_AuInSxHsQULttGU2yBWqFGWhndohIELgpX3E8XZB1yq6sx5wPrjxF9pMmXq4gpt80RxrrP0MPWA', 'sNEkAfIfI3l63rIXN9DL-MkADGRKtD1U_5D29nluOiBM8XZloHVhN4zNyqeRucaDTv3jWFu-UKhG9A']",0,Jinx,7,4,1,7003,113,9757,8772,0,30,6,4,281,281,281,True,BOTTOM,0,3,2,0,0,146.261
"['aJ9WWagu1S9gKSnLgGYLSaFZBcmjMDL6vwtK7Xvh2LzKR_w5ghjzBArZxSKTDovC7gRkIvTVZHTb-Q', 'S-m-ldSQgSAn2mzKcvF9JITO_HKR1qHyJjCAU7uj7FBpiCxZguIdcEdw79rsSAqQyUwraydAVoTu0Q', 'EFBpCdyGl1ioeiUR5sUTUCqaZpLLhqAVdcvxsccfcs5pQK3epkSwz4FoSnS88Mrd-JiwiB7xoDshPw', 'G2SBG1Ha5P1IVEnhd1Tr0GD8Pj41YGKKvXR-3RuHcXkWMGGRwXKoMJkBV41Y-BKZbIq9jVNbC4MG7g', 'v_tJsi0ASRKC3htFX0NRz6MPTWD3SVvC3kCiv-4Bp8E38wq1WK4keDyw5t76XoOgzdWQ8wLgmq6EiA', 'P2O3sqoLmk2Dy6G6Jq7-OglEfk8R9GOVNrZkaYHnDfrpkA_foFQ6pjtyrmzlA-XZnVVRgAJr-TAZZQ', 'JVzoIM9P8j8sQpYRsRDNESgMyMMhWVN1WG5Xiijfj2mCXDo59oIS-QRT3Z3teTvUM-cJxaYa8kCssA', 'sAUzGGqqPgt4fvKoejLNThb0KFuiylTML_A8JMmLjcbCAbXAtJbuvtAEJ_p7PxzEGWj5fjx8-8e8pQ', 'FSKlZraUB2HnrIO5qc3wr00AdJqEULFYV-gFSrRiT-NBPFgY-t_kQJslMSlNhf39-4XCvG2v8BeL7Q', 'JJaj8mVBVCmVvnTRg1erDs_ub5y41kXaycl-jPEzFq44Fc-gY3asSbl_VMT-20B2BGiEwm3bgWaSOQ']",1,Jinx,7,8,10,15435,217,30731,24096,0,84,25,11,8397,23866,8397,False,BOTTOM,0,4,2,0,0,19.583
"['LS_A1VfuU6nbcxWbRkh3_8caZ_qOG4sAB1mw4Z28AYQb7IniMSFIqoMAWjpNaAsnuuCzMWJvJhaSQw', 'Akpe9F3vKs3NYunz_ML2VZw38KLzBVX0K3wjZww5wS6tsAKcSFOk8njWL2Xt55sT5Ta_JLOV8K062g', 'TiBCIj9Jop_vQ7yHbfpz9zdhN93Fa6hyb8qNyc9TtMLOw9NtXBhcEHnNJ0soYVlUStF2cMV3drD7hQ', 'G2SBG1Ha5P1IVEnhd1Tr0GD8Pj41YGKKvXR-3RuHcXkWMGGRwXKoMJkBV41Y-BKZbIq9jVNbC4MG7g', 'YFSajQl7LXFq0rE3EazaxXn0Oqpvw1soZCf0gGM1HCbY-mCa2amaULLVIGPizciSR_ahwMldUlhFaQ', 'V8qyCbS6GZ85ttBQUL95HtjPryKKcWxCXo-D2kQsdC1MymkcHaVH2Swx7M2nZQ6OCK1Bw-XS04v0YQ', 'ipa_spK1xAQGogWQU6Uu8C4A79KDJJtktn4nU2mf7qd6ssJ6Kr5lp5eSnI2Z0c4om7xcUuDBoLu4sw', '6wfsoTooadeo1m8arUxya2JIpTP9JRFNwJUMNaWFVN65TgufLKRuaJgt38b_TlCeryZDsHIrW2zFeA', 'I16QcBe8_dgHqDH38T6mmHscN1OXHf3LkaP14g2lVnCo522vaskdTZ4KT1np-bYv8jUnCunnrysh4g', 'dhOzM3KZKO6K77Ko1ct1LzNpzHSYURmUPnrnPFjlzuGrCINIFwrvxXGWe1kjNX5HpQ8SItFEi4wQqA']",1,Jinx,2,1,3,5369,96,5078,9007,0,26,7,5,1922,3095,1922,True,BOTTOM,0,0,1,0,0,32.615
"['P2O3sqoLmk2Dy6G6Jq7-OglEfk8R9GOVNrZkaYHnDfrpkA_foFQ6pjtyrmzlA-XZnVVRgAJr-TAZZQ', 'wKelbpc1acpC0ENllHZOd2asV27-M3uZgybymcrCviJSNXVOqIBj5ImTjcrMaVuZMTa5x8C8iLM47Q', 'c1Ps2a9hSHO2ueXUmmSWhhOIy_APmsBoSAqF6z95xV6hWzGv-mi1EBrE8e3QWxKiuBY0V3pu1pRbMQ', 'cTH5gz2Qx-kNqmfNQ9SP9hrzGKuxSEDCGbOFWRXniqwBq9WtTkpWgyPphVim_sxBFRAWlEa3IlNRfA', 'Ej03i89b0S9zDwm3gIg6m3qreOLs4HGse0PB5i4rgeUSRRySASbE0ussl5xAJ6XYGipTuWHWdQA02w', '02u6xOt_v7Q6lslzNdWummujWI2kcOx5G6uSh74oUGNmDMm803OhrPJPe9_WOTo-WSxmbPeI6atuJg', 'EEGrSLbUj5APp5NsH4ZOPh4C-1J6qaumMaAsuA6YGdKsp0s74ZfgqSzFcv-fcLh1ooQS_nmpRt3rrQ', '0o8OySm9nmpR7d1EVE4lrmaHBClsbK-a18-bHQex-U4Wyd8Pf35mLLxp0DBEnnZXvMsm0dktYSd_Mw', 'G2SBG1Ha5P1IVEnhd1Tr0GD8Pj41YGKKvXR-3RuHcXkWMGGRwXKoMJkBV41Y-BKZbIq9jVNbC4MG7g', 'ugpcg8H5wKoRCjy7n-ykcqF8OD-rDW5s86zqKfOc2RyCNUWBvV08x30IV9LMOok3Cq7nJATklMvB0g']",0,Jhin,3,3,1,5197,92,5148,8649,0,35,4,3,909,909,909,True,BOTTOM,0,3,2,0,0,189.024
"['zObe5XEi5nP_o3sU_2hEhOCuWWF3ZA1vRDCbVlWqK9nJ5N-QTPFADOlvhzmZ2ZHR8750FfzzUanPLQ', 'KtB0Qmu07eckDkMbKjzI5OgWy035hYMsC1K2FV6MympbjvPSUT0qADP5wQJt-xkc9Fj48J68FtOT5A', 'xumBgVyd7ZCMzwCGhGSfHFd7jDVdEsVfpQw8UMwZoo6W9Eg1VDkIifgzvXmKxTjeul7apXYuQRSL-Q', 'G2SBG1Ha5P1IVEnhd1Tr0GD8Pj41YGKKvXR-3RuHcXkWMGGRwXKoMJkBV41Y-BKZbIq9jVNbC4MG7g', '-m9KRIZW4E5x2qWzJOv69kMOmEGAHoHBZI1d6MAz-Byyj8_5l0TUop5PDg1gM4uD-j03MBLUlWL8mQ', 'jNnaHX1VV-JYzcMXhRl-XbMKX6LB1lqv-K5VJM8GHmQ1UoLeiK0nShJ7pOVQZqbiNx0xFrBsGpW9JA', 'ylb17FwauGliNSpftIvxrsLui7S4U0Lu9yYF1HuQ2kAg94S1HxxgfkR8SD-uKEa41hQ6Ge8cBySfiw', '1DdEWVhuQv-h3155-sj6UHc03bk2ajCrFk9PkMZuSq90nIKXZ-Ynkm7MNsCRlt-FWxiiDB8Bjol0bQ', 'g1wrMxsIu8g6ZiXStvpQzWM-b99rUJoxasmnoTh2jn3T1TPlzqMwiEvsyzheq7O16TSGaEax3ZcwoA', 'smOkVq-N8zGmnvg0P6b5iYlZ7hWYvC6rQrg2Ez29CToVikcGjQ-Pp1m0YBn57UsjZwhbCZ_AY6inyA']",0,Jinx,3,7,3,12612,239,13620,21895,0,68,14,6,2529,2529,2529,False,BOTTOM,0,2,1,0,0,38.697
"['OjygcTKCMgeahdF0ad6GGr9Hj1v6_-gO6tjK_loDopsbk0EvA3dhzgualp-DWTQN9CjZZOw-PZ70aw', 'e6gR3aKcGDT6MoaI4Jett0L7kxScvYTWkjzDfhNyp3mwYzL0MsLmgBJ_wH30Twq9JLO0u7Sxx9si1w', 'FnBwfaYXJH4ANsk3pPtqHKlZdfNpuHgjXhraKzfyoAZqD7KM3-OejriblfNcS8UaOOGq9mHK8sirUA', 'G2SBG1Ha5P1IVEnhd1Tr0GD8Pj41YGKKvXR-3RuHcXkWMGGRwXKoMJkBV41Y-BKZbIq9jVNbC4MG7g', 'QYo8akjAYgoxGg9f_09Ky0gtGFYLSU1CSlfFKCp2_jjv3vCogyiPLqWaaPvI4aDC8VsFObw4AwND3g', 'T_QB_7DpMBeU3zIxQ7GUbbOmvQjlor2uf5bWLJNcH_OADZ5hh67P75r18IAfLq5qIl0AhVryLPx5cg', '6_VjAaKkYaKjdQ95hyy6FjGG2pByia0xtsQupndD4NmMarzNQT6sgV1YzYk1r2a2lXIKZz8EXsre3g', 'DUfmT2vVvv2n0fFj5iKrzB7aWWAYjbsLIn6v7VQiYH4E2UVm9drghAqC7VKkNH55jjmoWPUYBFvLvw', 'CgfAvCMxlEhd8GSEKtIror-RsrWJXyMis05nHUvi1s5ZlMeslix7pO0HV5iy49ZM4NUsizTyiNWHuQ', 'jGWjCfbA90JD_F6-mZwwsfDNDp6rO7_fwEgiP7azAsqBQ9Ix8jTMgg6R-1wMGrJWoXKDC7pQKEA20A']",1,Jinx,14,5,7,20818,269,48271,24732,0,174,24,12,7576,41206,7576,False,BOTTOM,3,6,3,0,0,21.145
