match_id,game_mode,queue_id,ranked,riot_id,riot_tag,win,champion,champion_level,kills,deaths,assists,gold_earned,total_damage_dealt,vision_score,game_creation,game_start_timestamp,game_end_timestamp,item0,item1,item2,item3,item4,item5,item6,ally_1,ally_1_champion,ally_1_position,ally_1_rank,ally_1_item0,ally_1_item1,ally_1_item2,ally_1_item3,ally_1_item4,ally_1_item5,ally_1_item6,ally_2,ally_2_champion,ally_2_position,ally_2_rank,ally_2_item0,ally_2_item1,ally_2_item2,ally_2_item3,ally_2_item4,ally_2_item5,ally_2_item6,ally_3,ally_3_champion,ally_3_position,ally_3_rank,ally_3_item0,ally_3_item1,ally_3_item2,ally_3_item3,ally_3_item4,ally_3_item5,ally_3_item6,ally_4,ally_4_champion,ally_4_position,ally_4_rank,ally_4_item0,ally_4_item1,ally_4_item2,ally_4_item3,ally_4_item4,ally_4_item5,ally_4_item6,enemy_1,enemy_1_champion,enemy_1_position,enemy_1_rank,enemy_1_item0,enemy_1_item1,enemy_1_item2,enemy_1_item3,enemy_1_item4,enemy_1_item5,enemy_1_item6,enemy_2,enemy_2_champion,enemy_2_position,enemy_2_rank,enemy_2_item0,enemy_2_item1,enemy_2_item2,enemy_2_item3,enemy_2_item4,enemy_2_item5,enemy_2_item6,enemy_3,enemy_3_champion,enemy_3_position,enemy_3_rank,enemy_3_item0,enemy_3_item1,enemy_3_item2,enemy_3_item3,enemy_3_item4,enemy_3_item5,enemy_3_item6,enemy_4,enemy_4_champion,enemy_4_position,enemy_4_rank,enemy_4_item0,enemy_4_item1,enemy_4_item2,enemy_4_item3,enemy_4_item4,enemy_4_item5,enemy_4_item6,enemy_5,enemy_5_champion,enemy_5_position,enemy_5_rank,enemy_5_item0,enemy_5_item1,enemy_5_item2,enemy_5_item3,enemy_5_item4,enemy_5_item5,enemy_5_item6,loading_screen_time,game_start_time,game_end_time,game_day_of_week,game_month,game_year
NA1_5252744375,CLASSIC,420,True,DragonLordDrako,NA1,False,Kayn,16,3,12,6,11228,20018,32,2025-03-23 23:45:43.363,2025-03-23 23:46:07.601,2025-03-24 00:22:36.060,Sterak's Gage,Eclipse,Force of Nature,0,Mercury's Treads,0,Oracle Lens,BoleJ11,K'Sante,TOP,PLATINUM IV,Kaenic Rookern,Unending Despair,Mercury's Treads,"Jak'Sho, The Protean",Thornmail,0,Oracle Lens,Gigaa,Syndra,MIDDLE,PLATINUM IV,Void Staff,Luden's Companion,Sorcerer's Shoes,Stormsurge,Shadowflame,Needlessly Large Rod,Stealth Ward,wimpy shark,Caitlyn,BOTTOM,PLATINUM III,Doran's Blade,The Collector,Noonquiver,Berserker's Greaves,Infinity Edge,Rapid Firecannon,Farsight Alteration,SeaDucks,Morgana,UTILITY,PLATINUM IV,Zaz'Zak's Realmspike,Liandry's Torment,Control Ward,Banshee's Veil,Ionian Boots of Lucidity,Negatron Cloak,Oracle Lens,monkhouse,Mordekaiser,TOP,PLATINUM III,Riftmaker,Armored Advance,Rylai's Crystal Scepter,Fiendish Codex,Haunting Guise,0,Stealth Ward,Na Ranker Xin,Tryndamere,JUNGLE,PLATINUM I,Infinity Edge,Mercurial Scimitar,Yun Tal Wildarrows,Berserker's Greaves,Mortal Reminder,Recurve Bow,Oracle Lens,JoJoAds,Galio,MIDDLE,PLATINUM IV,Dead Man's Plate,Force of Nature,Mercury's Treads,Hollow Radiance,Spirit Visage,0,Farsight Alteration,beltran,Lux,BOTTOM,PLATINUM IV,Void Staff,Stormsurge,Seraph's Embrace,Luden's Companion,Rabadon's Deathcap,Spellslinger's Shoes,Oracle Lens,DaDragonDust,Leona,UTILITY,PLATINUM IV,Celestial Opposition,Locket of the Iron Solari,Shurelya's Battlesong,Sunfire Aegis,Swiftmarch,Dead Man's Plate,Oracle Lens,23:45:43.363000,23:46:07.601000,00:22:36.060000,6,3,2025
NA1_5252718021,CLASSIC,420,True,DragonLordDrako,NA1,True,Kayn,17,11,0,3,13534,17966,23,2025-03-23 23:01:09.193,2025-03-23 23:02:37.403,2025-03-23 23:31:08.506,Sterak's Gage,Voltaic Cyclosword,Black Cleaver,0,Armored Advance,0,Oracle Lens,Boxacus,Volibear,TOP,PLATINUM II,Hextech Rocketbelt,Cosmic Drive,Boots of Swiftness,Spirit Visage,Aegis of the Legion,Giant's Belt,Stealth Ward,Gigaa,Syndra,MIDDLE,PLATINUM IV,Doran's Ring,Luden's Companion,Sorcerer's Shoes,Shadowflame,Stormsurge,0,Stealth Ward,Janerik,Caitlyn,BOTTOM,Unranked,Doran's Blade,Yun Tal Wildarrows,The Collector,Berserker's Greaves,B. F. Sword,Cloak of Agility,Farsight Alteration,TheHarmacist,Swain,UTILITY,GOLD III,Zaz'Zak's Realmspike,Rylai's Crystal Scepter,Liandry's Torment,Sorcerer's Shoes,0,0,Oracle Lens,FilthyKnitter,Sett,TOP,GOLD III,Plated Steelcaps,Blade of The Ruined King,Ruby Crystal,Stridebreaker,0,0,Stealth Ward,indianparliament,Rengar,JUNGLE,PLATINUM IV,Last Whisper,Hubris,Profane Hydra,Boots,Noonquiver,0,Stealth Ward,im annie,Xerath,MIDDLE,PLATINUM IV,Doran's Ring,Luden's Companion,Shadowflame,Sorcerer's Shoes,Horizon Focus,Amplifying Tome,Farsight Alteration,im tibbers,Ezreal,BOTTOM,PLATINUM IV,Doran's Blade,Trinity Force,Muramana,0,Ionian Boots of Lucidity,0,Farsight Alteration,HulkaSmash,Soraka,UTILITY,PLATINUM IV,Dream Maker,Control Ward,Moonstone Renewer,Ionian Boots of Lucidity,Kindlegem,Forbidden Idol,Oracle Lens,23:01:09.193000,23:02:37.403000,23:31:08.506000,6,3,2025
NA1_5252668167,CLASSIC,420,True,DragonLordDrako,NA1,False,Kayn,16,4,11,6,12817,25556,30,2025-03-23 21:38:26.220,2025-03-23 21:38:50.145,2025-03-23 22:13:53.434,Black Cleaver,Eclipse,Maw of Malmortius,Cloth Armor,Chainlaced Crushers,Long Sword,Oracle Lens,Criheldtai,Trundle,TOP,PLATINUM IV,Ravenous Hydra,Trinity Force,Swiftmarch,Spirit Visage,Hullbreaker,Thornmail,Oracle Lens,Gigaa,LeBlanc,MIDDLE,PLATINUM IV,Dark Seal,Shadowflame,Luden's Companion,Stormsurge,Sorcerer's Shoes,0,Stealth Ward,Relone,Caitlyn,BOTTOM,GOLD IV,The Collector,Yun Tal Wildarrows,Berserker's Greaves,Infinity Edge,0,0,Farsight Alteration,come outside,Shaco,UTILITY,PLATINUM IV,Zaz'Zak's Realmspike,Blackfire Torch,Lost Chapter,Ionian Boots of Lucidity,Liandry's Torment,0,Oracle Lens,Renagado,Yasuo,TOP,GOLD I,Blade of The Ruined King,Stridebreaker,Berserker's Greaves,Mortal Reminder,Immortal Shieldbow,Steel Sigil,Farsight Alteration,MUHYUNintheJG,Nunu & Willump,JUNGLE,PLATINUM IV,Dead Man's Plate,Liandry's Torment,Kaenic Rookern,Cloth Armor,Sorcerer's Shoes,Thornmail,Oracle Lens,SpaceJamJR,Syndra,MIDDLE,GOLD I,Doran's Ring,Zhonya's Hourglass,Stormsurge,Boots of Swiftness,Luden's Companion,Rabadon's Deathcap,Stealth Ward,DHY21,Ezreal,BOTTOM,GOLD I,Muramana,Serylda's Grudge,Trinity Force,Ionian Boots of Lucidity,Executioner's Calling,Spear of Shojin,Farsight Alteration,Chowdeer,Zyra,UTILITY,PLATINUM III,Zaz'Zak's Realmspike,Liandry's Torment,Sorcerer's Shoes,Dark Seal,Rylai's Crystal Scepter,Rabadon's Deathcap,Oracle Lens,21:38:26.220000,21:38:50.145000,22:13:53.434000,6,3,2025
NA1_5252989717,CLASSIC,400,False,mxrcus,6044,False,Xayah,13,4,8,9,10446,22671,12,2025-03-24 05:54:36.665,2025-03-24 05:55:18.113,2025-03-24 06:21:35.808,Infinity Edge,Essence Reaver,Berserker's Greaves,Navori Flickerblade,0,0,Stealth Ward,Tarik Torgaddon,Sion,TOP,SILVER I,Sunfire Aegis,Heartsteel,Plated Steelcaps,Unending Despair,Cloth Armor,0,Stealth Ward,Garviel Loken,Fiddlesticks,JUNGLE,GOLD I,Shadowflame,Sorcerer's Shoes,Blasting Wand,Liandry's Torment,Amplifying Tome,Cloth Armor,Scarecrow Effigy,H0meLaner,Ekko,MIDDLE,GOLD IV,Doran's Ring,Sorcerer's Shoes,Lich Bane,Shadowflame,Needlessly Large Rod,0,Stealth Ward,WakeMeUpInside,Katarina,UTILITY,SILVER I,Bloodsong,Nashor's Tooth,Shadowflame,Sorcerer's Shoes,Long Sword,0,Oracle Lens,Syphilas,Sylas,MIDDLE,EMERALD IV,Blighting Jewel,Rabadon's Deathcap,Dark Seal,Blackfire Torch,Liandry's Torment,Mercury's Treads,Farsight Alteration,Maximus,Amumu,JUNGLE,IRON I,Abyssal Mask,Liandry's Torment,Chainlaced Crushers,Bramble Vest,Chain Vest,Ruby Crystal,Oracle Lens,Robot Bubble,Tahm Kench,TOP,PLATINUM III,Heartsteel,Bramble Vest,Unending Despair,Warden's Mail,Doran's Shield,Mercury's Treads,Stealth Ward,SquashySnorlax,Miss Fortune,BOTTOM,PLATINUM II,0,Doran's Blade,Serrated Dirk,Gunmetal Greaves,Bloodthirster,Essence Reaver,Farsight Alteration,FuzzyLogik,Leona,UTILITY,Unranked,Bounty of Worlds,Plated Steelcaps,Locket of the Iron Solari,Kindlegem,Chain Vest,Control Ward,Oracle Lens,05:54:36.665000,05:55:18.113000,06:21:35.808000,0,3,2025
NA1_5252967922,CLASSIC,400,False,mxrcus,6044,True,Diana,18,11,1,2,14320,21605,22,2025-03-24 05:07:54.619,2025-03-24 05:08:18.174,2025-03-24 05:37:22.170,Seeker's Armguard,Riftmaker,Mejai's Soulstealer,Liandry's Torment,Plated Steelcaps,Needlessly Large Rod,Oracle Lens,WheatyWieldy,Rek'Sai,TOP,GOLD I,Doran's Shield,Plated Steelcaps,Eclipse,Black Cleaver,Winged Moonplate,Tunneler,Stealth Ward,Tigerof2000,Dr. Mundo,MIDDLE,GOLD I,Heartsteel,Warmog's Armor,Warden's Mail,Boots of Swiftness,Giant's Belt,Titanic Hydra,Farsight Alteration,Almost2020Vision,Veigar,BOTTOM,Unranked,Doran's Ring,Shurelya's Battlesong,Rabadon's Deathcap,Trailblazer,Mejai's Soulstealer,Synchronized Souls,Oracle Lens,Estay,Nami,UTILITY,Unranked,Dream Maker,Mejai's Soulstealer,Imperial Mandate,Crimson Lucidity,Fiendish Codex,Forbidden Idol,Oracle Lens,CherryBomber1,Smolder,TOP,Unranked,Iceborn Gauntlet,Muramana,Rapid Firecannon,Ionian Boots of Lucidity,Amplifying Tome,0,Stealth Ward,ZegONE,Naafiri,JUNGLE,Unranked,Profane Hydra,Eclipse,Long Sword,Glowing Mote,Long Sword,Mercury's Treads,Oracle Lens,BeastFridge,Akshan,MIDDLE,DIAMOND IV,Mortal Reminder,Statikk Shiv,Synchronized Souls,The Collector,Cloak of Agility,Pickaxe,Stealth Ward,Kuhnzy,Jhin,BOTTOM,PLATINUM IV,Rapid Firecannon,The Collector,Boots of Swiftness,B. F. Sword,0,0,Stealth Ward,lost origin,Swain,UTILITY,BRONZE I,Celestial Opposition,Heartsteel,Boots of Swiftness,Control Ward,Aegis of the Legion,Giant's Belt,Oracle Lens,05:07:54.619000,05:08:18.174000,05:37:22.170000,0,3,2025
NA1_5252779708,CLASSIC,400,False,Once,NA1,False,Lux,18,5,5,17,12430,44103,100,2025-03-24 00:40:22.086,2025-03-24 00:40:49.793,2025-03-24 01:21:52.544,Zaz'Zak's Realmspike,Rabadon's Deathcap,Sorcerer's Shoes,0,Luden's Companion,Shadowflame,Oracle Lens,Ole Slewfoot,Irelia,TOP,PLATINUM I,Kraken Slayer,Blade of The Ruined King,Hullbreaker,Wit's End,Death's Dance,Sundered Sky,Stealth Ward,Odious Orison,Diana,JUNGLE,GOLD III,Unending Despair,Liandry's Torment,Riftmaker,Abyssal Mask,Sorcerer's Shoes,Haunting Guise,Oracle Lens,CLG Zephyr,Shen,MIDDLE,PLATINUM IV,Dead Man's Plate,Hollow Radiance,Titanic Hydra,Mercury's Treads,Bramble Vest,0,Stealth Ward,NotPeachy,Xayah,BOTTOM,GOLD IV,Essence Reaver,Navori Flickerblade,Lord Dominik's Regards,Infinity Edge,B. F. Sword,Berserker's Greaves,Stealth Ward,clappa2k,Vi,TOP,GOLD IV,The Collector,Infinity Edge,Lord Dominik's Regards,Immortal Shieldbow,Forever Forward,Glowing Mote,Oracle Lens,PopePae,Graves,JUNGLE,Unranked,Guardian Angel,Maw of Malmortius,Bloodthirster,Chainlaced Crushers,Serpent's Fang,The Collector,Oracle Lens,qtpatutie,Cho'Gath,MIDDLE,SILVER IV,Unending Despair,Rod of Ages,Swiftmarch,Heartsteel,Riftmaker,Chain Vest,Stealth Ward,Spengarr,Ezreal,BOTTOM,BRONZE II,Muramana,Trinity Force,Crimson Lucidity,Spear of Shojin,B. F. Sword,Vampiric Scepter,Farsight Alteration,albone,Vel'Koz,UTILITY,Unranked,Spellslinger's Shoes,0,Zaz'Zak's Realmspike,Luden's Companion,Shadowflame,Horizon Focus,Oracle Lens,00:40:22.086000,00:40:49.793000,01:21:52.544000,0,3,2025
NA1_5252668824,CLASSIC,400,False,Once,NA1,False,Lux,16,4,5,14,10957,28116,68,2025-03-23 21:37:21.075,2025-03-23 21:37:44.893,2025-03-23 22:11:30.857,Zaz'Zak's Realmspike,Needlessly Large Rod,Shadowflame,Spellslinger's Shoes,Oblivion Orb,Luden's Companion,Oracle Lens,Unspin to Win,Nasus,TOP,Unranked,"Jak'Sho, The Protean",Refillable Potion,Thornmail,Armored Advance,B. F. Sword,0,Stealth Ward,Inarius,Vi,JUNGLE,BRONZE II,The Collector,Eclipse,Chainlaced Crushers,Lord Dominik's Regards,B. F. Sword,Pickaxe,Oracle Lens,Gakkari,Qiyana,MIDDLE,PLATINUM IV,Doran's Blade,Profane Hydra,Hubris,Crimson Lucidity,Caulfield's Warhammer,Last Whisper,Stealth Ward,GrimGwen,Gwen,BOTTOM,Unranked,Hextech Alternator,Riftmaker,Mercury's Treads,Nashor's Tooth,Rabadon's Deathcap,Needlessly Large Rod,Stealth Ward,C9 Flareon,Jax,TOP,BRONZE II,Sterak's Gage,Wit's End,Trinity Force,Mercury's Treads,Sundered Sky,Tunneler,Stealth Ward,Grimul,Volibear,JUNGLE,BRONZE III,Spirit Visage,Rod of Ages,Mercury's Treads,Frozen Heart,Cloak of Agility,Dagger,Oracle Lens,IIlllIIlIIlIIIl,Yasuo,MIDDLE,Unranked,Long Sword,Blade of The Ruined King,Doran's Blade,Kraken Slayer,Phantom Dancer,Berserker's Greaves,Stealth Ward,Joe With The Flo,Swain,BOTTOM,SILVER II,Fimbulwinter,Liandry's Torment,Sorcerer's Shoes,Rylai's Crystal Scepter,Kindlegem,Oblivion Orb,Stealth Ward,Pulverino,Ashe,UTILITY,SILVER IV,Zaz'Zak's Realmspike,Imperial Mandate,Malignance,Ionian Boots of Lucidity,Haunting Guise,Amplifying Tome,Oracle Lens,21:37:21.075000,21:37:44.893000,22:11:30.857000,6,3,2025
NA1_5252567537,CLASSIC,400,False,Once,NA1,False,Lux,15,6,6,12,10554,26366,68,2025-03-23 18:34:24.775,2025-03-23 18:35:42.337,2025-03-23 19:08:38.391,Zaz'Zak's Realmspike,Luden's Companion,Sorcerer's Shoes,0,Needlessly Large Rod,Shadowflame,Oracle Lens,EviLZ3rO,Shen,TOP,Unranked,Titanic Hydra,Plated Steelcaps,Thornmail,Sunfire Aegis,Giant's Belt,Doran's Shield,Stealth Ward,PaIeFox,Lillia,JUNGLE,Unranked,Blackfire Torch,Sorcerer's Shoes,Cosmic Drive,Fiendish Codex,Haunting Guise,0,Oracle Lens,Fethma,Orianna,MIDDLE,Unranked,Rabadon's Deathcap,Shattered Armguard,Luden's Companion,Shadowflame,Sorcerer's Shoes,0,Farsight Alteration,milkiii,Lucian,BOTTOM,Unranked,Lord Dominik's Regards,Essence Reaver,Berserker's Greaves,Navori Flickerblade,Infinity Edge,Vampiric Scepter,Farsight Alteration,Vampire Fangs,Akshan,TOP,Unranked,Lord Dominik's Regards,Hubris,Gunmetal Greaves,The Collector,Infinity Edge,Pickaxe,Stealth Ward,chumphant,Bel'Veth,JUNGLE,Unranked,Mercury's Treads,Stridebreaker,Wit's End,Kindlegem,Kraken Slayer,Phage,Oracle Lens,Nyx ES,Yasuo,MIDDLE,GOLD III,Infinity Edge,Death's Dance,Blade of The Ruined King,Doran's Shield,Pickaxe,Berserker's Greaves,Stealth Ward,StrangeFatality,Jinx,BOTTOM,BRONZE II,Doran's Blade,The Collector,Kraken Slayer,Tear of the Goddess,Gunmetal Greaves,Last Whisper,Oracle Lens,JewWorldOrder,Xerath,UTILITY,SILVER IV,Horizon Focus,Zaz'Zak's Realmspike,Spellslinger's Shoes,Luden's Companion,Dark Seal,Shadowflame,Farsight Alteration,18:34:24.775000,18:35:42.337000,19:08:38.391000,6,3,2025
NA1_5252112217,CLASSIC,400,False,Once,NA1,False,Lux,14,2,9,12,9384,21969,85,2025-03-23 00:00:11.814,2025-03-23 00:00:39.047,2025-03-23 00:38:14.792,Zaz'Zak's Realmspike,Luden's Companion,Shadowflame,0,0,Sorcerer's Shoes,Oracle Lens,Heuney,Garen,TOP,BRONZE I,Stridebreaker,Berserker's Greaves,Force of Nature,Hullbreaker,Phantom Dancer,Dead Man's Plate,Stealth Ward,Ramaza,Lee Sin,JUNGLE,EMERALD IV,Control Ward,Long Sword,Sterak's Gage,Sundered Sky,Eclipse,Mercury's Treads,Stealth Ward,Melinoë,Galio,MIDDLE,SILVER IV,Liandry's Torment,Hollow Radiance,Cloth Armor,Shattered Armguard,Null-Magic Mantle,Mercury's Treads,Stealth Ward,Kaattt,Caitlyn,BOTTOM,IRON I,Doran's Blade,Berserker's Greaves,The Collector,Rapid Firecannon,Lord Dominik's Regards,Long Sword,Stealth Ward,Sniperwolf,K'Sante,TOP,BRONZE III,"Jak'Sho, The Protean",Iceborn Gauntlet,Plated Steelcaps,Fimbulwinter,Warden's Mail,0,Stealth Ward,The Little Paws,Shaco,JUNGLE,Unranked,Liandry's Torment,Blackfire Torch,Spellslinger's Shoes,Shadowflame,0,0,Oracle Lens,A Legit Cat,Aurora,MIDDLE,Unranked,Doran's Ring,Luden's Companion,Spellslinger's Shoes,Liandry's Torment,Shadowflame,Needlessly Large Rod,Stealth Ward,Chris Hansen,Ezreal,BOTTOM,Unranked,Trinity Force,Muramana,Chainlaced Crushers,Serylda's Grudge,Spear of Shojin,Doran's Blade,Stealth Ward,RaínSongs,Zyra,UTILITY,SILVER IV,Zaz'Zak's Realmspike,Blackfire Torch,Spellslinger's Shoes,Rylai's Crystal Scepter,Oblivion Orb,Haunting Guise,Oracle Lens,00:00:11.814000,00:00:39.047000,00:38:14.792000,6,3,2025
NA1_5252828813,CLASSIC,400,False,KarnNaval,NA1,False,Irelia,11,2,4,0,5616,7615,8,2025-03-24 01:44:06.464,2025-03-24 01:44:54.824,2025-03-24 02:01:05.853,Blade of The Ruined King,Doran's Shield,Plated Steelcaps,Dagger,0,0,Stealth Ward,Kuromi Doll,Nunu & Willump,JUNGLE,Unranked,Gustwalker Hatchling,Fated Ashes,Amplifying Tome,Plated Steelcaps,Bramble Vest,Cloth Armor,Stealth Ward,TrashieTea,Naafiri,MIDDLE,GOLD III,Doran's Blade,Youmuu's Ghostblade,Refillable Potion,Ionian Boots of Lucidity,Last Whisper,Long Sword,Stealth Ward,GoontasticFreak,Miss Fortune,BOTTOM,Unranked,Berserker's Greaves,Doran's Blade,Vampiric Scepter,Pickaxe,0,0,Stealth Ward,nyago,Bard,UTILITY,BRONZE IV,Zaz'Zak's Realmspike,Kindlegem,Synchronized Souls,Forbidden Idol,0,0,Oracle Lens,NA John Wick,Jax,TOP,Unranked,Doran's Blade,Blade of The Ruined King,Cloth Armor,Boots,0,0,Stealth Ward,SvckMe0ff,Kayn,JUNGLE,Unranked,Scorchclaw Pup,Eclipse,Pickaxe,Ionian Boots of Lucidity,0,0,Oracle Lens,Wilting,Vel'Koz,MIDDLE,Unranked,Doran's Ring,Boots,Blackfire Torch,Amplifying Tome,Amplifying Tome,Needlessly Large Rod,Farsight Alteration,Faathertrox,Aatrox,BOTTOM,BRONZE II,Doran's Shield,Voltaic Cyclosword,Plated Steelcaps,Ruby Crystal,Long Sword,0,Stealth Ward,toasterbutreally,Pantheon,UTILITY,Unranked,Bloodsong,Youmuu's Ghostblade,Plated Steelcaps,Phage,0,0,Oracle Lens,01:44:06.464000,01:44:54.824000,02:01:05.853000,0,3,2025
